Epoch,Tot_Epochs,Iter,Tot_Iters,loss,Elapsed_time,val0_tr1
5, 10, 300, 311, 0.2169, 2:21:27.859524, 1
5, 10, 310, 311, 0.1930, 2:22:30.462750, 1
5, 10, 10, 311, 0.1619, 2:23:07.284687, 0
5, 10, 20, 311, 0.1698, 2:23:37.220686, 0
5, 10, 30, 311, 0.1737, 2:24:07.134523, 0
5, 10, 40, 311, 0.1637, 2:24:36.961530, 0
5, 10, 50, 311, 0.1724, 2:25:06.673072, 0
5, 10, 60, 311, 0.1681, 2:25:36.798296, 0
5, 10, 70, 311, 0.1661, 2:26:06.012646, 0
5, 10, 80, 311, 0.1660, 2:26:35.785843, 0
5, 10, 90, 311, 0.1784, 2:27:01.505126, 0
5, 10, 100, 311, 0.1818, 2:27:30.480172, 0
5, 10, 110, 311, 0.1666, 2:28:00.588446, 0
6, 10, 10, 311, 0.1878, 2:29:24.118715, 1
6, 10, 20, 311, 0.1578, 2:30:24.347767, 1
6, 10, 30, 311, 0.1886, 2:31:22.725422, 1
6, 10, 40, 311, 0.1721, 2:32:22.135435, 1
6, 10, 50, 311, 0.1977, 2:33:20.518839, 1
6, 10, 60, 311, 0.1899, 2:34:19.284308, 1
6, 10, 70, 311, 0.1900, 2:35:18.152206, 1
6, 10, 80, 311, 0.2053, 2:36:17.115924, 1
6, 10, 90, 311, 0.2105, 2:37:15.633570, 1
6, 10, 100, 311, 0.2020, 2:38:14.357549, 1
6, 10, 110, 311, 0.1798, 2:39:13.571447, 1
6, 10, 120, 311, 0.1706, 2:40:13.458325, 1
6, 10, 130, 311, 0.2004, 2:41:12.350378, 1
6, 10, 140, 311, 0.1733, 2:42:11.257173, 1
6, 10, 150, 311, 0.1521, 2:43:10.121809, 1
6, 10, 160, 311, 0.1650, 2:44:09.123544, 1
6, 10, 170, 311, 0.1905, 2:45:08.546453, 1
6, 10, 180, 311, 0.1985, 2:46:08.258504, 1
6, 10, 190, 311, 0.1928, 2:47:08.092744, 1
6, 10, 200, 311, 0.1630, 2:48:07.427431, 1
6, 10, 210, 311, 0.1863, 2:49:07.357438, 1
6, 10, 220, 311, 0.1894, 2:50:08.189343, 1
6, 10, 230, 311, 0.1651, 2:51:10.391138, 1
6, 10, 240, 311, 0.1831, 2:52:06.564151, 1
6, 10, 250, 311, 0.1779, 2:53:02.671271, 1
6, 10, 260, 311, 0.1671, 2:53:58.170917, 1
6, 10, 270, 311, 0.1676, 2:54:53.448195, 1
6, 10, 280, 311, 0.1998, 2:55:49.468799, 1
6, 10, 290, 311, 0.1924, 2:56:45.516199, 1
6, 10, 300, 311, 0.1688, 2:57:41.578493, 1
6, 10, 310, 311, 0.1685, 2:58:38.244665, 1
6, 10, 10, 311, 0.1533, 2:59:07.929494, 0
6, 10, 20, 311, 0.1481, 2:59:32.102431, 0
6, 10, 30, 311, 0.1514, 2:59:57.142505, 0
6, 10, 40, 311, 0.1514, 3:00:25.200471, 0
6, 10, 50, 311, 0.1385, 3:00:56.601117, 0
6, 10, 60, 311, 0.1457, 3:01:28.292772, 0
6, 10, 70, 311, 0.1448, 3:01:52.731431, 0
6, 10, 80, 311, 0.1615, 3:02:17.977744, 0
6, 10, 90, 311, 0.1468, 3:02:44.856809, 0
6, 10, 100, 311, 0.1391, 3:03:15.436753, 0
6, 10, 110, 311, 0.1368, 3:03:43.914413, 0
7, 10, 10, 311, 0.1980, 3:05:02.195057, 1
7, 10, 20, 311, 0.1685, 3:05:58.026820, 1
7, 10, 30, 311, 0.1861, 3:06:53.787062, 1
7, 10, 40, 311, 0.1834, 3:07:49.186979, 1
7, 10, 50, 311, 0.1661, 3:08:44.323563, 1
7, 10, 60, 311, 0.1600, 3:09:40.071552, 1
7, 10, 70, 311, 0.1794, 3:10:35.766500, 1
7, 10, 80, 311, 0.1538, 3:11:32.067461, 1
7, 10, 90, 311, 0.1581, 3:12:27.929966, 1
7, 10, 100, 311, 0.1432, 3:13:23.694320, 1
7, 10, 110, 311, 0.1943, 3:14:19.919440, 1
7, 10, 120, 311, 0.1626, 3:15:16.487693, 1
7, 10, 130, 311, 0.1811, 3:16:12.920781, 1
7, 10, 140, 311, 0.1826, 3:17:09.486924, 1
7, 10, 150, 311, 0.1701, 3:18:06.349360, 1
7, 10, 160, 311, 0.1647, 3:19:02.913605, 1
7, 10, 170, 311, 0.1556, 3:19:59.621835, 1
7, 10, 180, 311, 0.1646, 3:20:56.552111, 1
7, 10, 190, 311, 0.1583, 3:21:53.319609, 1
7, 10, 200, 311, 0.1522, 3:22:50.374763, 1
7, 10, 210, 311, 0.1603, 3:23:47.497475, 1
7, 10, 220, 311, 0.1494, 3:24:44.089642, 1
7, 10, 230, 311, 0.1638, 3:25:41.133374, 1
7, 10, 240, 311, 0.1629, 3:26:38.042474, 1
7, 10, 250, 311, 0.1635, 3:27:34.997542, 1
7, 10, 260, 311, 0.1537, 3:28:31.132493, 1
7, 10, 270, 311, 0.1589, 3:29:27.961866, 1
7, 10, 280, 311, 0.1626, 3:30:24.968607, 1
7, 10, 290, 311, 0.1723, 3:31:21.736490, 1
7, 10, 300, 311, 0.1405, 3:32:18.562079, 1
7, 10, 310, 311, 0.1815, 3:33:14.993549, 1
7, 10, 10, 311, 0.1292, 3:33:51.234989, 0
7, 10, 20, 311, 0.1338, 3:34:21.737077, 0
7, 10, 30, 311, 0.1375, 3:34:52.645731, 0
7, 10, 40, 311, 0.1448, 3:35:23.700674, 0
7, 10, 50, 311, 0.1372, 3:35:54.449545, 0
7, 10, 60, 311, 0.1467, 3:36:24.913545, 0
7, 10, 70, 311, 0.1451, 3:36:55.970905, 0
