Epoch, Tot Epochs, Iter, Tot Iters, loss, Elapsed time, training=1/validation=0
7, 10, 140, 311, 0.1367, 3:09:02.328932, 1
7, 10, 150, 311, 0.1251, 3:10:00.463778, 1
7, 10, 160, 311, 0.1306, 3:10:57.047445, 1
7, 10, 170, 311, 0.1053, 3:11:53.950430, 1
7, 10, 180, 311, 0.1505, 3:12:50.033657, 1
7, 10, 190, 311, 0.1287, 3:13:46.460817, 1
7, 10, 200, 311, 0.1598, 3:14:42.768817, 1
7, 10, 210, 311, 0.1562, 3:15:38.892512, 1
7, 10, 220, 311, 0.1498, 3:16:35.463866, 1
7, 10, 230, 311, 0.1339, 3:17:31.971662, 1
7, 10, 240, 311, 0.1419, 3:18:28.627220, 1
7, 10, 250, 311, 0.1379, 3:19:24.920651, 1
7, 10, 260, 311, 0.1634, 3:20:21.348759, 1
7, 10, 270, 311, 0.1383, 3:21:17.610068, 1
7, 10, 280, 311, 0.1296, 3:22:14.375108, 1
7, 10, 290, 311, 0.1262, 3:23:11.038940, 1
7, 10, 300, 311, 0.1383, 3:24:07.734559, 1
7, 10, 310, 311, 0.1364, 3:25:04.083440, 1
7, 10, 10, 311, 0.1183, 3:25:40.179751, 0
7, 10, 20, 311, 0.1094, 3:26:10.512401, 0
7, 10, 30, 311, 0.1359, 3:26:41.094753, 0
7, 10, 40, 311, 0.1358, 3:27:10.898659, 0
7, 10, 50, 311, 0.1310, 3:27:40.943076, 0
7, 10, 60, 311, 0.1309, 3:28:09.941696, 0
7, 10, 70, 311, 0.1290, 3:28:40.718396, 0
7, 10, 80, 311, 0.1150, 3:29:10.908943, 0
7, 10, 90, 311, 0.1192, 3:29:38.353059, 0
7, 10, 100, 311, 0.1203, 3:30:08.086006, 0
7, 10, 110, 311, 0.1226, 3:30:39.691038, 0
8, 10, 10, 311, 0.1376, 3:32:01.475804, 1
8, 10, 20, 311, 0.1289, 3:32:56.731295, 1
8, 10, 30, 311, 0.1432, 3:33:52.182107, 1
8, 10, 40, 311, 0.1434, 3:34:47.926894, 1
8, 10, 50, 311, 0.1387, 3:35:43.094675, 1
8, 10, 60, 311, 0.1402, 3:36:38.353976, 1
8, 10, 70, 311, 0.1313, 3:37:33.638701, 1
8, 10, 80, 311, 0.1499, 3:38:29.186880, 1
8, 10, 90, 311, 0.1250, 3:39:24.730754, 1
8, 10, 100, 311, 0.1335, 3:40:20.457610, 1
8, 10, 110, 311, 0.1479, 3:41:16.067775, 1
8, 10, 120, 311, 0.1317, 3:42:11.832269, 1
8, 10, 130, 311, 0.1335, 3:43:07.561434, 1
8, 10, 140, 311, 0.1457, 3:44:03.571947, 1
8, 10, 150, 311, 0.1353, 3:44:59.913686, 1
8, 10, 160, 311, 0.1323, 3:45:55.803102, 1
